Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
,,,,,,Stock-Previous-Quarter-56,119.7600,Peer-1-Previous-Quarter-56,79.8100,Peer-2-Previous-Quarter-56,226.4900,Peer-3-Previous-Quarter-56,38.4600,Peer-4-Previous-Quarter-37,68.9900
,,,,,,Stock-Previous-Quarter-57,120.0100,Peer-1-Previous-Quarter-57,81.5500,Peer-2-Previous-Quarter-57,229.4600,Peer-3-Previous-Quarter-57,39.1900,Peer-4-Previous-Quarter-36,68.3800
,,,,,,Stock-Previous-Quarter-58,118.7500,Peer-1-Previous-Quarter-58,81.5300,Peer-2-Previous-Quarter-58,225.2500,Peer-3-Previous-Quarter-58,39.4100,Peer-4-Previous-Quarter-35,69.4900
,,,,,,Stock-Previous-Quarter-59,119.5400,Peer-1-Previous-Quarter-59,81.9200,Peer-2-Previous-Quarter-59,222.7500,Peer-3-Previous-Quarter-59,39.9200,Peer-4-Previous-Quarter-34,70.2200
,,,,,,Stock-Previous-Quarter-60,119.7900,Peer-1-Previous-Quarter-60,82.2700,Peer-2-Previous-Quarter-60,224.9900,Peer-3-Previous-Quarter-60,39.8100,Peer-4-Previous-Quarter-33,71.7000
,,,,,,Stock-Previous-Quarter-61,118.7300,Peer-1-Previous-Quarter-61,82.4400,Peer-2-Previous-Quarter-61,220.6100,Peer-3-Previous-Quarter-61,38.9200,Peer-4-Previous-Quarter-32,71.1400
,,,,,,Stock-Previous-Quarter-62,121.5700,Peer-1-Previous-Quarter-62,81.5100,Peer-2-Previous-Quarter-62,221.3100,Peer-3-Previous-Quarter-62,39.6100,Peer-4-Previous-Quarter-31,72.8000
,,,,,,Stock-Previous-Quarter-63,118.4000,Peer-1-Previous-Quarter-63,82.7200,Peer-2-Previous-Quarter-63,223.9100,Peer-3-Previous-Quarter-63,38.2100,Peer-4-Previous-Quarter-30,71.4200
,,,,,,Stock-Previous-Quarter-64,117.9700,Peer-1-Previous-Quarter-64,80.6500,Peer-2-Previous-Quarter-64,220.7400,Peer-3-Previous-Quarter-64,38.4300,Peer-4-Previous-Quarter-29,72.3500
,,,,,,Stock-Previous-Quarter-65,115.8300,Peer-1-Previous-Quarter-65,79.8600,Peer-2-Previous-Quarter-65,216.2700,Peer-3-Previous-Quarter-65,37.0500,Peer-4-Previous-Quarter-28,71.2700
,,,,,,Stock-Previous-Quarter-66,116.0700,Peer-1-Previous-Quarter-66,79.0100,Peer-2-Previous-Quarter-66,206.1600,Peer-3-Previous-Quarter-66,37.7900,Peer-4-Previous-Quarter-27,71.9300
,,,,,,Stock-Previous-Quarter-67,115.8600,Peer-1-Previous-Quarter-67,79.6000,Peer-2-Previous-Quarter-67,202.7600,Peer-3-Previous-Quarter-67,37.2500,Peer-4-Previous-Quarter-26,70.1800
,,,,,,Stock-Previous-Quarter-68,114.2900,Peer-1-Previous-Quarter-68,79.3400,Peer-2-Previous-Quarter-68,205.8300,Peer-3-Previous-Quarter-68,36.3500,Peer-4-Previous-Quarter-25,70.5500
,,,,,,Stock-Previous-Quarter-69,115.0400,Peer-1-Previous-Quarter-69,78.6900,Peer-2-Previous-Quarter-69,203.1300,Peer-3-Previous-Quarter-69,37.0000,Peer-4-Previous-Quarter-24,68.7600
,,,,,,Stock-Previous-Quarter-70,115.4800,Peer-1-Previous-Quarter-70,79.0300,Peer-2-Previous-Quarter-70,204.9000,Peer-3-Previous-Quarter-70,35.4000,Peer-4-Previous-Quarter-23,68.2600
,,,,,,Stock-Previous-Quarter-71,113.9600,Peer-1-Previous-Quarter-71,79.5000,Peer-2-Previous-Quarter-71,200.3400,Peer-3-Previous-Quarter-71,34.7800,Peer-4-Previous-Quarter-22,70.4400
,,,,,,Stock-Previous-Quarter-72,115.1300,Peer-1-Previous-Quarter-72,78.4200,Peer-2-Previous-Quarter-72,193.0500,Peer-3-Previous-Quarter-72,36.0000,Peer-4-Previous-Quarter-21,68.5900
,,,,,,Stock-Previous-Quarter-73,114.3500,Peer-1-Previous-Quarter-73,78.8400,Peer-2-Previous-Quarter-73,192.8400,Peer-3-Previous-Quarter-73,32.8300,Peer-4-Previous-Quarter-20,67.3000
