Stock Beta,Stock Beta Number,Revenue,Revenue Number,52 Week,52 Week Price,Stock Previous Quarter,Stock Previous Quarter Number,Peer 1 Previous Quarter,Peer 1 Previous Quarter Number,Peer 2 Previous Quarter,Peer 2 Previous Quarter Number,Peer 3 Previous Quarter,Peer 3 Previous Quarter Number,Peer 4 Previous Quarter,Peer 4 Previous Quarter Number
,,,,,,Stock-Previous-Quarter-62,37.5500,Peer-1-Previous-Quarter-62,41.3700,Peer-2-Previous-Quarter-62,367.1800,Peer-3-Previous-Quarter-62,19.0400,Peer-4-Previous-Quarter-31,144.7300
,,,,,,Stock-Previous-Quarter-63,37.8900,Peer-1-Previous-Quarter-63,42.1900,Peer-2-Previous-Quarter-63,367.7300,Peer-3-Previous-Quarter-63,19.5300,Peer-4-Previous-Quarter-30,144.4100
,,,,,,Stock-Previous-Quarter-64,36.9800,Peer-1-Previous-Quarter-64,41.7000,Peer-2-Previous-Quarter-64,361.4300,Peer-3-Previous-Quarter-64,19.2100,Peer-4-Previous-Quarter-29,144.1300
,,,,,,Stock-Previous-Quarter-65,36.5900,Peer-1-Previous-Quarter-65,41.1300,Peer-2-Previous-Quarter-65,354.0000,Peer-3-Previous-Quarter-65,19.1400,Peer-4-Previous-Quarter-28,142.1800
,,,,,,Stock-Previous-Quarter-66,35.5700,Peer-1-Previous-Quarter-66,40.1200,Peer-2-Previous-Quarter-66,341.5800,Peer-3-Previous-Quarter-66,18.7400,Peer-4-Previous-Quarter-27,141.2900
,,,,,,Stock-Previous-Quarter-67,34.9700,Peer-1-Previous-Quarter-67,39.4000,Peer-2-Previous-Quarter-67,339.1000,Peer-3-Previous-Quarter-67,18.4100,Peer-4-Previous-Quarter-26,141.1500
,,,,,,Stock-Previous-Quarter-68,35.0500,Peer-1-Previous-Quarter-68,39.2600,Peer-2-Previous-Quarter-68,338.9400,Peer-3-Previous-Quarter-68,18.4500,Peer-4-Previous-Quarter-25,141.9000
,,,,,,Stock-Previous-Quarter-69,34.6200,Peer-1-Previous-Quarter-69,38.8100,Peer-2-Previous-Quarter-69,332.3400,Peer-3-Previous-Quarter-69,18.2200,Peer-4-Previous-Quarter-24,143.7200
,,,,,,Stock-Previous-Quarter-70,35.0000,Peer-1-Previous-Quarter-70,39.2500,Peer-2-Previous-Quarter-70,332.7900,Peer-3-Previous-Quarter-70,18.4600,Peer-4-Previous-Quarter-23,142.8700
,,,,,,Stock-Previous-Quarter-71,35.1400,Peer-1-Previous-Quarter-71,38.4100,Peer-2-Previous-Quarter-71,333.9200,Peer-3-Previous-Quarter-71,18.3100,Peer-4-Previous-Quarter-22,143.1800
,,,,,,Stock-Previous-Quarter-72,34.8200,Peer-1-Previous-Quarter-72,38.3100,Peer-2-Previous-Quarter-72,323.8800,Peer-3-Previous-Quarter-72,18.2700,Peer-4-Previous-Quarter-21,141.0900
,,,,,,Stock-Previous-Quarter-73,35.0800,Peer-1-Previous-Quarter-73,37.7800,Peer-2-Previous-Quarter-73,321.3400,Peer-3-Previous-Quarter-73,18.1500,Peer-4-Previous-Quarter-20,139.5100
,,,,,,Stock-Previous-Quarter-74,34.4100,Peer-1-Previous-Quarter-74,36.9900,Peer-2-Previous-Quarter-74,309.2900,Peer-3-Previous-Quarter-74,18.0700,Peer-4-Previous-Quarter-19,139.7300
,,,,,,Stock-Previous-Quarter-75,33.9800,Peer-1-Previous-Quarter-75,37.0300,Peer-2-Previous-Quarter-75,306.1600,Peer-3-Previous-Quarter-75,17.8600,Peer-4-Previous-Quarter-18,143.0100
,,,,,,Stock-Previous-Quarter-76,34.4900,Peer-1-Previous-Quarter-76,37.1200,Peer-2-Previous-Quarter-76,304.9600,Peer-3-Previous-Quarter-76,18.4900,Peer-4-Previous-Quarter-17,144.4200
